title,price,status,brand,shortDescription,processorBrand,processorModel,displaySize,ram,ramType,storageCapacity
"AVITA Essential 14 Celeron N4020 256GB SSD 14"" Full HD Laptop Matt Black Color","19,000৳25,000৳",In Stock,AVITA,"['MPN: NE14A2BDC44A-MBB', 'Model: AVITA Essential 14', 'Processor: Intel Celeron N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)', 'RAM: 4GB LPDDR4, Storage: 256GB SATA SSD', 'Display: 14"" FHD (1920 x 1080) IPS', 'Features: 2M WebCam, 0.8W x 2 Speaker']",Intel,Celeron N4020,14 Inch,4GB,LPDDR4,256GB
Chuwi HeroBook Pro Intel Celeron N4020 14.1 inch Full HD Laptop with Windows 11,"26,500৳28,800৳",In Stock,Chuwi,"['Model: Chuwi HeroBook Pro', 'Intel Celeron Processor N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)', '8GB LPDDR4 RAM', '256GB SSD', '14.1 Inch(1920 x 1080) IPS Anti-Glare Display']",Intel,Celeron Processor N4020,14.1 Inch,8GB,LPDDR4,256GB
"Lenovo IdeaPad D330 10IGL Celeron N4020 10.1"" HD Detachable 2-in-1 Touch Laptop","31,500৳34,500৳",In Stock,Lenovo,"['MPN: 82H0001VIN', 'Model: IdeaPad D330 10IGL', 'Processor: Intel Celeron N4020 (4M Cache,1.10 GHz up to 2.80 GHz)', 'RAM: 4GB DDR4 Storage: 128GB eMMC SSD', 'Display: 10.1"" (1280 x 800) HD Touchscreen', 'Features: Touch, Type-C, Detachable']",Intel,Celeron N4020,10.1 Inch,4GB,DDR4,128GB
Chuwi GemiBook XPro Intel Celeron N100 14.1 inch Full HD Laptop,"32,500৳34,900৳",In Stock,Chuwi,"['Model: GemiBook XPro', 'Intel Celeron N100 (4M Cache, 0.8GHz - 3.4GHz)', '8GB LPDDR4 RAM', '256GB SSD', '14.1 Inch(1920 x 1080) IPS Anti-Glare Display']",Intel Celeron,Intel Celeron N100,14.1 inch,8GB,LPDDR5,256GB
"Lenovo IdeaPad Slim 3i Intel Celeron N4020 15.6"" HD Laptop","35,000৳",In Stock,Lenovo,"['MPN: 81WQ00Q2IN', 'Model: IdeaPad Slim 3i', 'Processor: Intel Celeron N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)', 'Ram: 4GB DDR4, Storage: 1TB HDD', 'Display: 15.6"" HD (1366 x 768)', 'Features: High Definition Audio, HD 720p Webcam']",Intel,Celeron Processor N4020,15.6 Inch,4GB,DDR4,1TB
Chuwi GemiBook Plus Intel Celeron N100 15.6 inch Full HD Laptop,"33,500৳35,900৳",In Stock,Chuwi,"['Model: GemiBook Plus', 'Intel Celeron N100 (4M Cache, 0.8GHz - 3.4GHz)', '8GB LPDDR4 RAM', '256GB SSD', '15.6 Inch(1920 x 1080) IPS Anti-Glare Display']",Intel Celeron,Intel Celeron N100,15.6 inch,8GB,LPDDR5,256GB
Asus P1511CMA Intel Celeron N4020 15.6-Inch HD Laptop,"34,000৳37,500৳",In Stock,Asus,"['MPN: BR693W', 'Model: P1511CMA', 'Processor: Intel Celeron N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)', 'Ram: 4GB DDR4, Storage: 1TB HDD', 'Display: 15.6"" HD (1366 x 768)', 'Features: Chiclet Keyboard, Type-C']",Intel,Celeron Processor N4020,15.6 inch,4GB,DDR4,1TB
"Asus Vivobook X515MA Celeron N4500 15.6"" HD Laptop","37,800৳",In Stock,Asus,"['MPN: BQ635T', 'Model: Vivobook X515MA', 'Processor: Intel Celeron N4500 (4M Cache, 1.10 GHz up to 2.80 GHz)', 'RAM: 4GB DDR4, Storage: 1TB 5400RPM HDD', 'Display: 15.6"" HD (1366 x 768)', 'Features: Backlit Keyboard, Type-C']",Intel,Celeron N4500 Processor,15.6 Inch,4GB,DDR4,1TB
"Asus Vivobook E410MA Celeron N4020 14"" HD Laptop","37,800৳",In Stock,Asus,"['MPN: BV2132W/BV1489W', 'Model: Vivobook E410MA', 'Processor: Intel Celeron N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)', 'RAM: 4GB DDR4 (Onboard), Storage: 256GB PCIEG3 SSD', 'Display: 14"" HD (1366X768) LED Display', 'Features: Backlit Keyboard, Type-C']",Intel,Celeron Processor N4020,14,4GB(onboard),DDR4,256GB
"Asus X415KA Intel Celeron N4500 14"" FHD Laptop","37,800৳",In Stock,Asus,"['MPN: EK091W-X415KA', 'Model: X415KA', 'Processor: Intel Celeron N4500 (4M Cache, 1.10 GHz up to 2.80 GHz)', 'RAM: 4GB DDR4 RAM, Storage: 1TB 5400RPM HDD', 'Display: 14"" FHD (1920 x 1080)', 'Features: Chiclet Keyboard, Tye-C']",Intel,Celeron N4500 Processor,"14""",4GB,DDR4,1TB
"Asus Vivobook X515KA Celeron N4500 15.6"" FHD Laptop","37,800৳",In Stock,Asus,"['MPN: EJ149W-X515KA', 'Model: Vivobook X515KA', 'Processor: Intel Celeron N4500 (4M Cache, 1.10 GHz up to 2.80 GHz)', 'RAM: 4GB DDR4 RAM, Storage: 1TB 5400RPM HDD', 'Display: 15.6"" FHD (1920x1080)', 'Features: Backlit Keyboard, Type-C']",Intel,Celeron N4500 Processor,15.6-inch,4GB,DDR4,1TB
"Asus Vivobook E410MA Celeron N4020 14"" HD Laptop Star Black","37,800৳",In Stock,Asus,"['MPN: BV2230W-E410MA', 'Model: Vivobook E410MA', 'Processor: Intel Celeron N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)', 'RAM: 4GB DDR4 (Onboard), Storage: 256GB PCIEG3 SSD', 'Display: 14"" HD (1366X768) LED Display', 'Features: Type-C']",Intel,Celeron Processor N4020,14,4GB(onboard),DDR4,256GB
"HP 250 G8 Intel Celeron N4020 15.6"" FHD Laptop","38,000৳",In Stock,HP,"['MPN: 5C3R7PA', 'Model: 250 G8', 'Processor: Intel Celeron N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)', 'RAM: 4GB DDR4 3200MHz, Storage: 1TB HDD', 'Display: 15.6"" FHD (1920 x 1080)', 'Features: Full-size keyboard with numeric keypad, Type-C']",Intel,Celeron Processor N4020,15.6 Inch,4GB,DDR4,1TB
"Walton Prelude N41 Pro Celeron N4120 14"" FHD Laptop","38,550৳",In Stock,Walton,"['Model: Prelude N41 Pro', 'Processor: Intel Celeron N4120 (4MB Cache, 1.10 GHz up to 2.60 GHz)', 'RAM: 8GB DDR4, Storage: 256GB SSD', 'Display: 14"" FHD (1920x1080)', 'Features: Bangla Keyboard, Type-C']",Intel,Celeron N4120,14 Inch,8GB,DDR4,256GB
"Walton Prelude N40 Pro Celeron N4020 14"" FHD Laptop","39,750৳",In Stock,Walton,"['MPN: NL40GU1', 'Model: Prelude N40 Pro', 'Processor: Intel Celeron N4020 (4MB Cache, 1.10 GHz up to 2.80 GHz)', 'RAM: 8GB DDR4, Storage: 256GB SSD', 'Display: 14"" FHD (1920x1080)', 'Features: Bangla Keyboard, Type-C']",Intel,Celeron N4020,14 Inch,8GB,DDR4,256GB
"Walton Prelude N50 Pro Pentium Silver N5030 14"" FHD Laptop","39,950৳",In Stock,Walton,"['Model: Prelude N50 Pro', 'Processor: Intel Pentium Silver N5030 (4MB Cache, 1.10 GHz up to 3.10 GHz)', 'RAM: 8GB DDR4, Storage: 256GB SSD', 'Display: 14"" FHD (1920x1080)', 'Features: Bangla Keyboard, Type-C']",Intel,Pentium Silver N5030,14 Inch,8GB,DDR4,256GB
"Asus VivoBook 15 E510MA Intel Celeron N4020 15.6"" FHD Laptop","38,500৳41,500৳",In Stock,Asus,"['MPN: EJ601W/EJ601T', 'Model: VivoBook 15 E510MA', 'Processor: Intel Celeron N4020 (1.10 GHz up to 2.80 GHz, Cache 4MB)', 'RAM: 4GB DDR4, Storage:512GB PCIe G3 SSD', 'Display: 15.6"" FHD (1920X1080)', 'Features: Backlit Keyboard, Type-C']",Intel,Celeron Dual Core N4020,15.6-inch,4GB (Onboard),DDR4,512GB
"Asus ExpertBook BR1100FKA Celeron N4500 11.6"" 360° HD LED Touch Education Laptop","44,800৳",In Stock,Asus,"['MPN: BP1039W', 'Model: ExpertBook BR1100FKA', 'Processor: Intel Celeron N4500 (4M Cache, 1.10 GHz up to 2.80 GHz)', 'RAM: 4GB DDR4, Storage: 256GB M.2 SSD', 'Display: 11.6"" HD (1366 x 768) LED Touch Display', 'Features: 360° Flip & Touch Screen']",Intel,Celeron N4500 Processor,"11.6""",4GB,DDR4,256GB
ASUS D415DA Ryzen 3 3250U 14-inch HD Laptop,"46,500৳",In Stock,Asus,"['MPN: BV981W-D415DA', 'Model: D415DA', 'Processor: AMD Ryzen 3 3250U (2.6 GHz up to 3.5 GHz)', 'Ram: 4GB DDR4, Storage: 1TB HDD', 'Display: 14"" HD (1366 x 768)', 'Features: Backlit Keyboard, Fingerprint , Type-C']",AMD,Ryzen 3 3250U,14 Inch,4GB (On board),DDR4,1TB HDD
